665,560,490,point_id,coarse,clay,sand,silt,phc,phh,ec,caco3,p,n,k,elevation,lc1,lu1,stones,lon,lat,oc
0.786479,0.918627,1.056643,47462712,-9999.0,-9999.0,-9999.0,-9999.0,4.8,5.03,63.3,0,31.6,4.7,211.8,859,E20,U111,1,40.4,15.629722835,47.37612375
0.689751,0.843313,1.006683,47702714,-9999.0,-9999.0,-9999.0,-9999.0,4.4,4.64,49.8,0,36.0,4.5,158.7,690,C10,U120,1,39.8,15.948523348,47.377189552
0.672549,0.841585,0.974073,47502726,-9999.0,-9999.0,-9999.0,-9999.0,4.8,5.28,9.01,0,35.6,5.4,96.7,845,E20,U111,1,52.8,15.696336478,47.498961799
0.653221,0.806707,0.988633,47642718,-9999.0,-9999.0,-9999.0,-9999.0,3.8,4.21,13.04,0,30.4,2.9,8.9,773,C21,U120,1,45.9,15.873395553,47.417369567
0.636074,0.783734,0.951671,47622718,-9999.0,-9999.0,-9999.0,-9999.0,5.9,6.1,17.69,0,18.5,3.1,45.3,949,E20,U111,1,28.1,15.846976439,47.418793099
0.884826,1.08853,1.207999,47042684,-9999.0,-9999.0,-9999.0,-9999.0,5.7,5.89,44.1,0,34.5,5.5,427.4,721,E20,U111,1,45.8,15.050527459,47.152058102
0.641744,0.789335,0.970992,47382664,-9999.0,-9999.0,-9999.0,-9999.0,4.9,5.32,7.19,0,63.5,1.8,179.3,324,B35,U111,1,16.3,15.478683798,46.950804329
0.670159,0.814205,0.998501,47302662,-9999.0,-9999.0,-9999.0,-9999.0,5.8,6.09,25.0,0,42.5,2.1,92.1,324,B35,U111,1,18.2,15.372066669,46.938117906
0.781586,0.900873,1.029583,47462736,-9999.0,-9999.0,-9999.0,-9999.0,5.9,6.04,76.5,1,45.5,5.4,112.6,744,E20,U111,1,47.9,15.653232063,47.591420426
0.615195,0.721394,0.882378,47742642,-9999.0,-9999.0,-9999.0,-9999.0,6.1,6.4,10.37,1,31.5,2.5,43.6,238,E20,U111,1,21.8,15.927712363,46.72849651
0.610654,0.727503,0.910417,47582644,-9999.0,-9999.0,-9999.0,-9999.0,5.1,5.36,28.8,0,9.2,2.3,77.2,265,B13,U111,1,18.8,15.721026218,46.757737728
0.730388,0.835933,0.972127,47642640,-9999.0,-9999.0,-9999.0,-9999.0,7.0,7.28,35.8,2,21.7,2.0,32.3,235,B16,U111,1,17.0,15.795360759,46.717656984
0.561712,0.682606,0.882757,47682646,-9999.0,-9999.0,-9999.0,-9999.0,4.8,5.04,30.5,0,11.7,2.8,76.7,244,B13,U111,1,22.5,15.853461533,46.768667562
0.652619,0.800458,0.979684,47462636,-9999.0,-9999.0,-9999.0,-9999.0,3.9,4.52,8.15,0,9.8,2.4,68.9,404,C10,U120,1,31.6,15.556897439,46.694143963
0.577358,0.673534,0.851611,47362636,-9999.0,-9999.0,-9999.0,-9999.0,4.0,4.64,5.89,0,0.0,2.1,57.2,456,C10,U120,1,33.1,15.426559089,46.700800517
0.63168,0.765284,0.96013,47322640,-9999.0,-9999.0,-9999.0,-9999.0,4.4,4.82,20.9,0,15.8,2.7,42.7,372,E20,U111,1,22.1,15.378065475,46.739327986
0.544346,0.678886,0.866487,47242638,-9999.0,-9999.0,-9999.0,-9999.0,4.5,4.77,27.5,0,19.2,2.7,431.9,390,E20,U111,1,44.6,15.271903554,46.72653684
0.53087,0.647546,0.886258,47562650,-9999.0,-9999.0,-9999.0,-9999.0,5.3,5.69,13.94,0,32.3,1.5,174.0,306,B16,U111,2,12.1,15.700746419,46.812963142
0.654251,0.763496,0.934385,47562664,-9999.0,-9999.0,-9999.0,-9999.0,6.2,6.4,32.5,0,39.5,3.0,219.8,340,E20,U111,1,26.9,15.714370185,46.938585305
0.561813,0.680975,0.900319,47442660,-9999.0,-9999.0,-9999.0,-9999.0,5.5,5.85,13.68,0,24.4,1.6,134.2,403,B35,U111,1,16.5,15.5534621,46.910891016
0.618392,0.73165,0.926725,47642668,-9999.0,-9999.0,-9999.0,-9999.0,5.7,6.0,32.4,0,106.2,1.8,203.0,300,B16,U111,1,13.6,15.82306617,46.968875419
0.621616,0.715472,0.828766,45322702,-9999.0,-9999.0,-9999.0,-9999.0,4.7,5.06,17.69,0,39.3,6.0,108.7,831,E20,U111,1,53.0,12.793725233,47.395781532
0.717345,0.786932,0.936403,45502694,-9999.0,-9999.0,-9999.0,-9999.0,4.5,4.91,10.49,0,11.6,2.3,9.8,832,E20,U111,1,17.4,13.027633204,47.317470097
0.715418,0.857383,1.006561,45102712,-9999.0,-9999.0,-9999.0,-9999.0,4.9,5.36,15.78,0,26.2,4.9,76.3,745,E20,U111,1,47.1,12.506989778,47.492809835
0.629865,0.771791,0.952031,45282706,-9999.0,-9999.0,-9999.0,-9999.0,4.3,4.77,13.93,0,22.1,4.7,66.0,876,E20,U111,1,54.3,12.742707832,47.433102021
0.699862,0.80144,0.92279,45122688,-9999.0,-9999.0,-9999.0,-9999.0,4.4,4.74,34.5,0,26.7,3.0,61.5,833,E20,U111,1,23.9,12.522991378,47.276315555
0.754133,0.894217,1.022202,45062714,-9999.0,-9999.0,-9999.0,-9999.0,6.9,7.06,14.21,1,11.9,3.0,13.6,708,E20,U111,1,41.6,12.454819692,47.512005586
0.58882,0.663218,0.796774,44922684,-9999.0,-9999.0,-9999.0,-9999.0,4.6,4.99,5.59,0,9.1,1.4,20.5,874,E20,U111,1,6.4,12.257397542,47.246137042
0.682646,0.797847,0.922222,44922728,-9999.0,-9999.0,-9999.0,-9999.0,5.0,5.32,49.0,0,20.3,4.5,56.2,686,E20,U111,1,36.4,12.274697845,47.641960012
0.836023,0.952727,1.061173,44862732,-9999.0,-9999.0,-9999.0,-9999.0,6.1,6.23,13.51,1,14.1,5.9,74.5,636,E20,U111,1,54.3,12.196459973,47.679571792
0.637368,0.749229,0.881623,44882714,-9999.0,-9999.0,-9999.0,-9999.0,5.9,6.02,15.36,0,17.2,3.7,19.9,638,E20,U111,1,33.7,12.216105109,47.517115769
0.868107,0.995257,1.079601,44782710,-9999.0,-9999.0,-9999.0,-9999.0,6.8,6.96,28.2,0,25.7,8.6,56.3,540,E20,U111,1,139.4,12.082019971,47.483743284
0.644921,0.726474,0.822273,44642706,-9999.0,-9999.0,-9999.0,-9999.0,6.9,7.07,30.4,223,30.4,4.5,27.1,520,B15,U111,1,39.4,11.895120513,47.451139212
0.713646,0.836673,0.972078,43122714,-9999.0,-9999.0,-9999.0,-9999.0,5.7,5.94,53.1,0,28.8,5.1,78.1,579,E20,U111,1,42.7,9.880537765,47.539549629
0.6301,0.760484,0.915509,43162706,-9999.0,-9999.0,-9999.0,-9999.0,4.1,4.8,8.31,0,18.1,3.6,87.0,825,E20,U111,1,37.0,9.933724292,47.467590609
0.608997,0.741314,0.875155,43122702,-9999.0,-9999.0,-9999.0,-9999.0,4.6,5.06,18.63,0,31.6,3.5,154.8,669,E20,U111,1,28.8,9.880786578,47.431542454
0.703661,0.819245,0.95228,43182690,-9999.0,-9999.0,-9999.0,-9999.0,7.0,7.14,21.4,154,20.0,4.4,149.5,989,E20,U111,1,55.0,9.960344663,47.323587214
0.722698,0.828074,0.921537,42982676,-9999.0,-9999.0,-9999.0,-9999.0,6.9,7.19,22.6,163,39.6,3.4,44.1,499,E20,U111,1,51.7,9.696710862,47.197147834
0.718379,0.83219,0.956312,42942690,-9999.0,-9999.0,-9999.0,-9999.0,6.5,6.48,19.39,3,50.2,5.8,65.1,474,E20,U111,1,48.9,9.643104368,47.323009026
0.659313,0.779247,0.926679,45762794,-9999.0,-9999.0,-9999.0,-9999.0,5.0,5.27,27.2,0,68.7,1.9,80.2,466,B13,U111,1,14.1,13.430546203,48.206219497
0.647753,0.73911,0.869141,46202808,-9999.0,-9999.0,-9999.0,-9999.0,7.2,7.68,30.0,63,23.0,1.4,58.2,260,B16,U111,1,22.7,14.031540185,48.31200102
0.568179,0.657323,0.769221,45842808,-9999.0,-9999.0,-9999.0,-9999.0,6.0,6.37,36.5,0,27.9,2.3,142.5,430,B16,U111,1,17.2,13.546847751,48.328620568
